object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Cells,Probability of Junk,Size in pixels,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Principal components of the object_4,Principal components of the object_5,Principal components of the object_6,Principal components of the object_7,Principal components of the object_8,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Radii of the object_0,Radii of the object_1,Radii of the object_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Total Intensity_0,Total Intensity_1,Total Intensity_2,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Minimum_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Maximum_2,Center of the object_0,Center of the object_1,Center of the object_2
0,0,1,0,Junk,0.48,0.52,1114.0,-0.9866377,0.16292493,-0.0012140828,-0.16292536,-0.98663837,0.0002551944,0.0011562832,-0.0004495893,-0.9999992,27449.0,17785.0,7943.0,-0.88917375,0.99586344,1.222776,12737002.0,1440066.5,1940167.6,13288.0,9682.0,1507.0,6.67939,4.6053247,0.8160737,21945.055,12389.536,3265.561,24446792.0,13801943.0,3637835.0,12737002.0,-1864655.5,-3080459.8,-1864655.5,1440066.5,897812.06,-3080459.8,897812.06,1940167.6,215.0,0.0,0.0,241.0,19.0,3.0,226.24506,8.321364,0.994614
1,0,2,0,Cells,0.6,0.4,786.0,0.99998146,-0.0059675206,0.0012286206,0.00596661,0.99998194,0.0007439629,0.0012330381,0.0007366184,-0.999999,25679.0,16173.0,12124.0,-1.199757,1.0165144,1.1393808,9225247.0,1176678.6,8680602.0,12613.0,9299.0,1635.0,5.319295,3.96442,0.8156774,20712.15,11559.61,4482.5,16279750.0,9085854.0,3523245.0,9225247.0,-1898749.9,-7690267.0,-1898749.9,1176678.6,2243975.8,-7690267.0,2243975.8,8680602.0,138.0,163.0,0.0,159.0,179.0,3.0,147.9084,169.95801,0.9961832
2,0,3,0,Cells,0.58,0.42,397.0,-0.8915791,-0.45286497,-0.0002624317,0.4528649,-0.8915791,0.00035730496,0.00039578954,-0.00019971952,-0.9999999,23347.0,16789.0,10568.0,-1.3401364,1.2585719,1.2497647,8372777.5,1280002.0,4048420.5,12694.0,9031.0,1538.0,3.9240305,2.7253857,0.81545043,20348.746,11473.635,3751.3855,8078452.0,4555033.0,1489300.0,8372777.5,-1481738.9,-5291648.0,-1481738.9,1280002.0,1142231.5,-5291648.0,1142231.5,4048420.5,189.0,196.0,0.0,204.0,209.0,3.0,195.58942,201.76323,0.9949622
3,0,4,0,Cells,0.61,0.39,1244.0,-0.9963685,-0.08514574,5.6514607e-05,-0.08514576,0.99636847,-0.00029582105,-3.1121468e-05,-0.00029955877,-0.99999994,27251.0,17617.0,11264.0,-0.8378515,0.7322217,0.74127054,10649126.0,1786773.4,6995422.0,13064.0,9715.0,1624.0,6.6280546,5.0060277,0.8163276,21165.479,12312.268,4687.352,26329856.0,15316461.0,5831066.0,10649126.0,-2246442.5,-6788347.5,-2246442.5,1786773.4,2597781.2,-6788347.5,2597781.2,6995422.0,163.0,204.0,0.0,190.0,225.0,3.0,176.18568,213.63826,1.0024116
4,1,1,0,Cells,0.55,0.45,1118.0,-0.05019395,-0.99873936,-0.00054014847,0.99873924,-0.050193552,-0.0007306223,-0.0007025893,0.0005761403,-0.9999996,27644.0,17428.0,12450.0,-0.77092767,0.9933369,0.6901461,10450447.0,1915342.4,10002517.0,13042.0,8848.0,1682.0,5.808834,5.184927,0.81629425,20985.736,11740.596,5281.917,23462052.0,13125986.0,5905183.0,10450447.0,-2564631.0,-8232817.5,-2564631.0,1915342.4,3470966.0,-8232817.5,3470966.0,10002517.0,67.0,126.0,0.0,88.0,150.0,3.0,77.47943,137.06798,0.99731666
5,1,2,0,Cells,0.86,0.14,398.0,0.6995912,-0.71454304,0.00054812344,0.71454316,0.69959134,1.1305636e-05,0.00039154076,-0.00038374853,-0.9999998,24093.0,13605.0,10462.0,-1.111688,0.77017105,1.0561857,9377084.0,555246.6,4998783.0,12749.0,8993.0,1794.0,4.4260974,2.419776,0.812706,20112.867,10611.784,4337.922,8004921.0,4223490.0,1726493.0,9377084.0,-1113933.2,-6142188.5,-1113933.2,555246.6,879299.4,-6142188.5,879299.4,4998783.0,43.0,150.0,0.0,58.0,165.0,3.0,49.947235,157.50754,0.98241204
6,1,3,0,Cells,0.8,0.2,325.0,-0.025526077,0.9996332,0.009047906,0.99967206,0.025506454,0.00227769,0.0020460747,0.009103079,-0.9999565,23746.0,13603.0,8676.0,-1.1915673,0.6226244,1.1200142,8673503.0,569177.4,3275431.0,12989.0,8882.0,1925.0,3.7658029,2.292544,0.81476223,20313.08,10763.572,3798.9507,6601751.0,3498161.0,1234659.0,8673503.0,-909897.25,-4803935.0,-909897.25,569177.4,728308.8,-4803935.0,728308.8,3275431.0,39.0,165.0,0.0,48.0,180.0,3.0,43.05846,172.05539,0.9815385
7,1,4,0,Cells,0.69,0.31,2095.0,-0.66178805,-0.74969095,0.00023251725,0.74969095,-0.6617881,-4.8311373e-05,-0.00019009574,-0.00014234419,-1.0,30946.0,15424.0,13497.0,-0.40976068,0.7330509,0.7047256,12717714.0,1076515.5,8247476.0,12273.0,8689.0,1697.0,10.895547,5.4128532,0.81657976,21066.426,11143.775,5336.282,44134160.0,23346210.0,11179511.0,12717714.0,-1537752.6,-6997938.0,-1537752.6,1076515.5,1772964.9,-6997938.0,1772964.9,8247476.0,9.0,175.0,0.0,41.0,214.0,3.0,24.279236,192.8229,0.99570405
8,1,5,0,Cells,0.66,0.34,700.0,-0.25269854,0.9675448,0.00075023883,0.96754503,0.2526983,0.00039320346,0.00019085789,0.0008252518,-0.99999964,27729.0,15294.0,10079.0,-0.99129987,0.75917614,1.0505537,11049096.0,1254749.9,3551156.2,12598.0,8757.0,1861.0,5.494885,3.4403393,0.8167816,21683.648,11382.6045,4096.259,15178554.0,7967823.0,2867381.0,11049096.0,-2052931.1,-4649144.5,-2052931.1,1254749.9,1669327.0,-4649144.5,1669327.0,3551156.2,243.0,175.0,0.0,257.0,196.0,3.0,250.24571,185.44714,0.99857146
9,2,1,0,Cells,0.56,0.44,1288.0,-0.9757346,-0.21895649,0.00020000777,-0.2189565,0.9757332,-0.0016538554,0.00016696815,-0.001657517,-0.9999986,28801.0,19576.0,15192.0,-0.68726623,1.0811521,0.86679673,13542605.0,1775121.2,11884581.0,13098.0,8911.0,1601.0,6.5845118,5.246942,0.8170475,21758.14,11590.445,5283.871,28024484.0,14928493.0,6805626.0,13542605.0,-2785703.2,-10418748.0,-2785703.2,1775121.2,3519181.2,-10418748.0,3519181.2,11884581.0,166.0,17.0,0.0,192.0,38.0,3.0,178.15994,27.60326,0.992236
10,2,2,0,Cells,0.51,0.49,1273.0,0.7416187,-0.67082125,0.0007553946,0.6708213,0.741619,0.00021838074,0.0007067094,-0.00034477955,-0.9999997,27186.0,23015.0,11368.0,-0.7933258,1.7000401,0.9283559,9577697.0,1778515.2,6483766.5,14283.0,8817.0,1579.0,7.574452,4.6064467,0.81662863,21386.15,11314.749,4375.489,27224568.0,14403676.0,5569997.0,9577697.0,-2197278.0,-6216694.5,-2197278.0,1778515.2,2426608.5,-6216694.5,2426608.5,6483766.5,203.0,30.0,0.0,230.0,57.0,3.0,216.7769,42.306362,0.9960723
11,2,3,0,Cells,0.67,0.33,596.0,-0.97436666,0.2249569,-0.0020026239,0.2249658,0.97433186,-0.008237888,9.805047e-05,-0.0084772445,-0.99996406,26999.0,15757.0,9431.0,-0.9973703,0.9416314,1.104359,10476666.0,723732.1,3759604.0,13007.0,8995.0,1730.0,5.9016776,2.9225366,0.812709,21097.006,10867.787,3927.916,12573816.0,6477201.0,2341038.0,10476666.0,-1382710.1,-5281763.0,-1382710.1,723732.1,999006.2,-5281763.0,999006.2,3759604.0,167.0,37.0,0.0,189.0,50.0,3.0,176.45134,42.172817,1.0033557
12,2,4,0,Cells,0.81,0.19,539.0,-0.6437767,0.76520246,-0.004088078,0.7652131,0.64376223,-0.0043739644,-0.0007152183,-0.005944107,-0.99998206,24881.0,14338.0,10856.0,-1.2642208,0.66893613,1.2783887,7802894.0,670451.2,4381314.5,13004.0,8739.0,1745.0,4.5229073,3.189048,0.81580245,20635.416,10846.18,4070.6829,11122489.0,5846091.0,2194098.0,7802894.0,-852115.3,-4952234.5,-852115.3,670451.2,831370.1,-4952234.5,831370.1,4381314.5,47.0,45.0,0.0,63.0,62.0,3.0,54.230057,52.794064,0.987013
13,2,5,0,Cells,0.85,0.15,359.0,0.40489754,-0.9143608,-0.0014985575,0.9143593,0.4048998,-0.0018069275,-0.0022589494,0.0006385994,-0.99999726,23384.0,13330.0,9230.0,-1.1691718,0.6756842,1.0122942,8671915.0,483101.38,4091993.0,12991.0,8832.0,1810.0,4.2415714,2.26698,0.8157536,19944.432,10329.663,4091.2703,7160051.0,3708349.0,1468766.0,8671915.0,-794260.56,-5375594.0,-794260.56,483101.38,613694.56,-5375594.0,613694.56,4091993.0,45.0,216.0,0.0,57.0,232.0,3.0,50.874653,222.91365,0.9860724
14,3,1,0,Cells,0.93,0.07,173.0,0.9999162,0.012317234,0.003980047,-0.012338832,0.99990904,0.0054484433,0.003912575,0.0054970956,-0.99997723,23602.0,12168.0,9165.0,-0.74756086,0.11988683,0.55070466,9498825.0,296989.53,3546862.8,11812.0,9015.0,2315.0,2.6067452,1.7935287,0.8151905,19210.463,10574.723,5021.786,3323410.0,1829427.0,868769.0,9498825.0,-138532.14,-4762597.5,-138532.14,296989.53,269400.84,-4762597.5,269400.84,3546862.8,0.0,18.0,0.0,10.0,25.0,3.0,4.1791906,21.375723,0.99421966
15,3,2,0,Junk,0.36,0.64,648.0,0.16192842,-0.9867621,0.00893104,-0.9868022,-0.16192837,0.00073174667,0.0007241289,-0.00893166,-0.9999598,34581.0,17972.0,24352.0,0.50871694,0.34212056,0.119007275,19356726.0,3756311.0,41661892.0,14828.0,9720.0,2691.0,7.1342936,2.8822913,0.8151478,23736.477,13139.912,12236.659,15381237.0,8514663.0,7929355.0,19356726.0,598850.7,-2105919.0,598850.7,3756311.0,11343729.0,-2105919.0,11343729.0,41661892.0,0.0,25.0,0.0,12.0,53.0,3.0,4.1774693,35.36574,1.0046296
16,3,3,0,Cells,0.52,0.48,3282.0,-0.26343188,-0.9646779,-0.0005058089,0.964678,-0.26343194,3.895887e-05,0.00017082898,0.0004776797,-0.9999999,36283.0,20017.0,24951.0,0.26092553,0.47736278,0.3405419,20234452.0,3871576.2,37329000.0,13539.0,9105.0,2588.0,16.557007,5.563625,0.81648177,22867.95,12984.196,10918.727,75052610.0,42614132.0,35835260.0,20234452.0,-704451.1,-6900275.0,-704451.1,3871576.2,10612601.0,-6900275.0,10612601.0,37329000.0,0.0,26.0,0.0,29.0,91.0,3.0,11.580439,57.139854,0.99695307
17,4,1,0,Cells,0.58,0.42,1888.0,-0.19075957,0.98163664,-0.00056812644,0.98163676,0.19075944,-0.00026471206,-0.00015147557,-0.00060819014,-0.9999998,29893.0,16444.0,17258.0,-0.49592128,0.7131286,1.0344082,13762738.0,1112190.0,11420507.0,12847.0,8581.0,1832.0,7.818983,6.4342294,0.81625926,21880.164,11274.573,5654.5996,41309748.0,21286394.0,10675884.0,13762738.0,-1413421.1,-7678504.5,-1413421.1,1112190.0,2550240.0,-7678504.5,2550240.0,11420507.0,51.0,63.0,0.0,78.0,94.0,3.0,63.9232,78.26271,0.9957627
18,4,2,0,Cells,0.91,0.09,293.0,-0.928805,-0.37056807,-0.00080158724,0.3705584,-0.9287927,0.0055249096,0.0027918636,-0.0048345285,-0.99998444,23914.0,13115.0,10994.0,-0.77884436,0.3238671,0.8204907,9878310.0,480394.1,5369653.0,13120.0,8563.0,1907.0,3.762018,2.0947194,0.8155033,19646.256,10495.847,4791.2695,5756353.0,3075283.0,1403842.0,9878310.0,-961783.1,-6634648.0,-961783.1,480394.1,706568.56,-6634648.0,706568.56,5369653.0,73.0,99.0,0.0,87.0,110.0,3.0,79.34129,104.59727,0.98293513
19,4,3,0,Cells,0.77,0.23,1509.0,-0.31347844,-0.9495952,0.0003904776,-0.9495953,0.31347835,-0.0003065387,0.00016868144,-0.00046688897,-0.9999999,26553.0,14994.0,11286.0,-0.8216096,0.7734451,0.8221527,10933126.0,794842.6,6473311.5,12780.0,8690.0,1914.0,8.079323,5.1699095,0.81647474,20976.352,10937.781,4834.8887,31653316.0,16505112.0,7295847.0,10933126.0,-1153886.2,-6712552.5,-1153886.2,794842.6,1301188.9,-6712552.5,1301188.9,6473311.5,56.0,102.0,0.0,78.0,135.0,3.0,66.66004,118.203445,0.99469846
20,4,4,0,Cells,0.87,0.13,538.0,-0.8652905,0.5012644,0.002508255,0.50127053,0.86527616,0.0050038537,0.00033792038,0.0055871014,-0.9999843,24233.0,13030.0,9955.0,-0.9239991,0.7183664,0.7904572,10348641.0,564081.5,4483223.5,13247.0,9158.0,1945.0,6.466463,2.2638004,0.8167688,20113.883,10586.747,4579.9834,10821269.0,5695670.0,2464031.0,10348641.0,-1008601.3,-6023391.5,-1008601.3,564081.5,826376.6,-6023391.5,826376.6,4483223.5,39.0,142.0,0.0,62.0,157.0,3.0,49.414497,148.44795,0.9944238
21,4,5,0,Cells,0.59,0.41,2953.0,-0.99760187,0.069213614,1.5992158e-05,0.069213614,0.99760175,0.00044412535,1.4785715e-05,0.00044416715,-0.9999999,28317.0,14915.0,21930.0,0.794321,0.6298342,0.9448311,4310691.0,516551.1,2914211.2,16540.0,8683.0,2182.0,10.182787,7.802623,0.816296,20445.03,10570.208,6261.6294,60374172.0,31213824.0,18490592.0,4310691.0,-12989.069,-874515.9,-12989.069,516551.1,396191.53,-874515.9,396191.53,2914211.2,165.0,144.0,0.0,207.0,176.0,3.0,185.78496,158.64645,0.9905181
22,4,6,0,Cells,0.84,0.16,251.0,-0.88368994,-0.46795693,0.010413742,0.46797264,-0.8837424,-0.0010243615,-0.009682422,-0.0039681285,-0.9999452,23919.0,13774.0,10038.0,-1.0707548,0.8274846,1.1171508,8280714.0,515748.2,4391884.5,13478.0,8972.0,1792.0,3.2154632,2.1097517,0.81718117,20083.004,10449.299,4132.4424,5040834.0,2622774.0,1037243.0,8280714.0,-819466.0,-5600427.0,-819466.0,515748.2,558238.1,-5600427.0,558238.1,4391884.5,209.0,159.0,0.0,222.0,169.0,3.0,215.42232,163.88844,0.9760956
23,4,7,0,Cells,0.61,0.39,1664.0,0.8551237,-0.5184234,-0.00077061035,0.5184234,0.85512406,-0.0002785144,-0.0008033558,0.00016133813,-0.99999964,31294.0,18658.0,13996.0,-0.65399367,1.1893933,0.8354828,11567401.0,1471904.8,9941250.0,12421.0,8551.0,1804.0,7.255612,6.294155,0.8167172,21873.197,11220.057,5370.3306,36397000.0,18670176.0,8936230.0,11567401.0,-1934986.4,-7513243.5,-1934986.4,1471904.8,2793615.0,-7513243.5,2793615.0,9941250.0,186.0,171.0,0.0,215.0,198.0,3.0,198.79086,184.73016,0.99759614
24,4,8,0,Cells,0.93,0.07,418.0,-0.9457989,-0.32475153,-0.0009405356,-0.32475144,0.945782,0.0057411324,-0.00097489986,0.005735397,-0.9999831,23882.0,14063.0,12947.0,-1.2746702,0.943415,1.2519408,8386558.0,508570.44,6480087.5,12788.0,8561.0,1791.0,4.371425,2.5506725,0.816825,20146.426,10325.345,4344.933,8421206.0,4315994.0,1816182.0,8386558.0,-885207.44,-6587220.0,-885207.44,508570.44,803820.2,-6587220.0,803820.2,6480087.5,87.0,199.0,0.0,104.0,211.0,3.0,94.854065,204.55981,0.99282295
25,4,9,0,Cells,0.84,0.16,208.0,-0.7787075,0.6273789,0.0032201684,0.62735605,0.7786074,0.013959107,0.006250402,0.012890253,-0.99989736,22695.0,11377.0,10704.0,-0.34629992,0.084203444,0.55655277,5869235.0,313245.9,6402817.0,15132.0,8025.0,1946.0,2.739936,2.0472145,0.8193857,19317.885,9887.283,5210.6875,4018120.0,2056555.0,1083823.0,5869235.0,-141641.25,-5720769.5,-141641.25,313245.9,133198.66,-5720769.5,133198.66,6402817.0,26.0,225.0,0.0,37.0,235.0,3.0,31.0,229.15384,0.97115386
26,4,10,0,Cells,0.7,0.3,946.0,0.10205181,-0.99477834,-0.0012395486,0.99477804,0.10204983,0.001568361,0.0014336758,0.0013931298,-0.999998,25697.0,16014.0,11312.0,-0.96955824,1.1370296,0.8872511,7946001.5,892040.25,5711945.0,13558.0,8968.0,1780.0,6.1103854,4.403693,0.8153149,21087.623,10892.158,4638.1196,19948892.0,10303982.0,4387661.0,7946001.5,-1334269.8,-5507395.0,-1334269.8,892040.25,1322024.0,-5507395.0,1322024.0,5711945.0,173.0,234.0,0.0,192.0,257.0,3.0,181.36046,246.57083,0.99260044
27,5,1,0,Cells,0.87,0.13,219.0,0.6940463,-0.71992886,-0.0014440006,0.7198975,0.69403243,-0.008161923,-0.0068781874,-0.0046252203,-0.99996567,22850.0,11847.0,9896.0,-1.082303,0.22949591,1.0597491,8509557.0,345593.44,4207237.0,12739.0,8288.0,1750.0,2.5346582,2.3121657,0.8162173,19757.512,9895.959,4062.3333,4326895.0,2167215.0,889651.0,8509557.0,-580223.56,-5468658.5,-580223.56,345593.44,458783.34,-5468658.5,458783.34,4207237.0,0.0,146.0,0.0,9.0,156.0,3.0,3.803653,150.76712,1.0091324
28,5,2,0,Cells,0.89,0.11,914.0,-0.7337492,-0.67942023,-0.00048152014,0.67942023,-0.73374933,0.0002375864,0.0005147361,0.00015282568,-0.9999999,26917.0,16724.0,10725.0,-0.65158075,1.4374986,0.56580204,12353871.0,628204.75,5470270.5,12774.0,8163.0,1844.0,6.821231,3.7019367,0.8155482,20516.232,10322.033,4928.211,18751836.0,9434338.0,4504385.0,12353871.0,-995576.94,-6750353.0,-995576.94,628204.75,968406.9,-6750353.0,968406.9,5470270.5,0.0,185.0,0.0,23.0,206.0,3.0,11.491247,195.54048,0.99124724
29,5,3,0,Cells,0.91,0.09,546.0,-0.019614572,-0.9998066,0.0014305433,0.99980736,-0.019615615,-0.00071875687,-0.00074667885,-0.0014161696,-0.9999987,24382.0,11849.0,11632.0,-1.0002258,0.3418171,0.9788983,10382181.0,376423.94,7733392.0,13032.0,8431.0,1832.0,4.5022755,3.2307518,0.81646967,20395.771,9901.621,4703.7124,11136091.0,5406285.0,2568227.0,10382181.0,-901314.6,-8328432.5,-901314.6,376423.94,871503.44,-8328432.5,871503.44,7733392.0,13.0,201.0,0.0,26.0,219.0,3.0,19.35531,209.07875,0.996337
30,6,1,0,Cells,0.87,0.13,2222.0,-0.53961766,-0.8419102,-0.000101933045,0.8419101,-0.53961766,0.0003814659,0.0003761649,-0.00012002728,-0.99999994,28140.0,18729.0,12475.0,-0.47812846,1.1928259,0.45525676,10732662.0,667476.1,5254008.5,13701.0,8740.0,1730.0,8.983798,7.1640654,0.81608146,21280.834,10733.517,5223.0605,47286016.0,23849874.0,11605640.0,10732662.0,-837517.06,-5445522.5,-837517.06,667476.1,815378.94,-5445522.5,815378.94,5254008.5,161.0,0.0,0.0,193.0,35.0,3.0,177.68182,17.145365,0.9918992
31,6,2,0,Cells,0.9,0.1,865.0,-0.037107512,-0.9993037,0.0038906347,0.999311,-0.037110392,-0.00067066017,-0.00081457617,-0.0038630674,-0.9999922,25416.0,13624.0,9427.0,-0.678631,0.7449646,0.62146354,10038838.0,557060.4,3973558.0,13451.0,8410.0,1890.0,8.232613,3.116901,0.8157539,20408.73,10280.56,4454.466,17653552.0,8892684.0,3853113.0,10038838.0,-952891.0,-5551331.0,-952891.0,557060.4,724458.56,-5551331.0,724458.56,3973558.0,166.0,37.0,0.0,180.0,69.0,3.0,172.78381,52.276302,0.983815
32,6,3,0,Cells,0.79,0.21,867.0,0.22592331,-0.9741445,0.001061165,0.97414446,0.22592425,0.00087592535,0.0010930208,-0.00083583605,-0.99999905,26647.0,14512.0,11186.0,-1.0500787,0.87001985,0.850598,10052494.0,696937.4,5325264.0,12695.0,7951.0,1767.0,5.817528,4.034733,0.81713176,21035.66,10447.134,4357.166,18237918.0,9057665.0,3777663.0,10052494.0,-1069585.2,-6028998.0,-1069585.2,696937.4,1117533.8,-6028998.0,1117533.8,5325264.0,130.0,51.0,0.0,147.0,74.0,3.0,137.30334,62.72434,0.9919262
33,6,4,0,Cells,0.88,0.12,720.0,-0.09519747,-0.99545753,-0.0013437971,0.9954583,-0.09519682,-0.00053808914,-0.00040771966,0.0013889187,-0.9999989,24378.0,13476.0,9504.0,-0.80717194,0.73947275,0.6276088,10863556.0,560051.2,4160709.2,12881.0,8778.0,1619.0,8.121813,2.687137,0.8162506,19993.268,10523.073,4502.49,14395152.0,7576613.0,3241793.0,10863556.0,-1006403.06,-5856744.5,-1006403.06,560051.2,782571.9,-5856744.5,782571.9,4160709.2,50.0,75.0,0.0,63.0,105.0,3.0,55.45,88.16389,0.98055553
